#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sun Mar 01 16:56:23 EST 2020,45,45,Assignment3Suite,DelMaxTest3+ GetMaxTest1+ GetMaxTest2+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest1+ SizeTest2+ SizeTest3+ SizeTest4+ , ,BuildTest1- BuildTest2- BuildTest3- DelMaxTest1- DelMaxTest2- DelMaxTest4- EverythingTest- GetMaxTest3- SortTest1- SortTest2- SortTest3- SortTest4- , ,
1,Sun Mar 01 19:33:03 EST 2020,50,5,Assignment3Suite,DelMaxTest3 DelMaxTest4+ GetMaxTest1 GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 EverythingTest GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
2,Sun Mar 01 19:52:37 EST 2020,59,9,Assignment3Suite,BuildTest1+ DelMaxTest2+ DelMaxTest3 DelMaxTest4 GetMaxTest1 GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest2 BuildTest3 DelMaxTest1 EverythingTest GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
3,Sun Mar 01 19:55:40 EST 2020,59,0,Assignment3Suite,BuildTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 GetMaxTest1 GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest2 BuildTest3 DelMaxTest1 EverythingTest GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
4,Sun Mar 01 19:55:52 EST 2020,59,0,Assignment3Suite,BuildTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 GetMaxTest1 GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest2 BuildTest3 DelMaxTest1 EverythingTest GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
5,Sun Mar 01 20:06:36 EST 2020,59,0,Assignment3Suite,BuildTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 GetMaxTest1 GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest2 BuildTest3 DelMaxTest1 EverythingTest GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
6,Sun Mar 01 20:13:36 EST 2020,72,13,Assignment3Suite,BuildTest1 BuildTest2+ DelMaxTest1+ DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest+ GetMaxTest1 GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest3 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
7,Sun Mar 01 20:24:39 EST 2020,54,-18,Assignment3Suite,DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1- BuildTest2- BuildTest3 EverythingTest- GetMaxTest1- GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
8,Sun Mar 01 20:27:34 EST 2020,59,5,Assignment3Suite,BuildTest1+ DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest2 BuildTest3 EverythingTest GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
9,Sun Mar 01 20:39:54 EST 2020,68,9,Assignment3Suite,BuildTest1 BuildTest2+ DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest+ GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest3 GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
10,Sun Mar 01 20:42:36 EST 2020,68,0,Assignment3Suite,BuildTest1 BuildTest2 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest3 GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
11,Sun Mar 01 20:43:08 EST 2020,68,0,Assignment3Suite,BuildTest1 BuildTest2 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest3 GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
12,Sun Mar 01 20:48:16 EST 2020,68,0,Assignment3Suite,BuildTest1 BuildTest2 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest3 GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
13,Sun Mar 01 20:49:44 EST 2020,68,0,Assignment3Suite,BuildTest1 BuildTest2 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest3 GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
